id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-2721746086,,$ 4.500.000,4500000.0,$,"Avenida General Rondizzoni 2596, Santiago, Chile, Club Hípico, Santiago, RM (Metropolitana)",4 baños|738 m² útiles,https://www.portalinmobiliario.com/MLC-2721746086-rebajada-bodega-excelente-ubicacion-amplios-espacios-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:56.634301
MLC-1483188265,,UF 200,200.0,UF,"Sgto. Aldea 534, 8360807 Santiago, Región Metropolitana, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",6 baños|1.226 m² útiles,https://www.portalinmobiliario.com/MLC-1483188265-bodega-en-santiago-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:56.975269
MLC-2755231786,,UF 90,90.0,UF,"San Diego / Pedro Lagos ( Terreno Mas Galpon), Parque O'Higgins, Santiago, RM (Metropolitana)",350 m² útiles,https://www.portalinmobiliario.com/MLC-2755231786-san-diego-pedro-lagos-terreno-mas-galpon-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:57.315180
MLC-2576085168,,UF 200,200.0,UF,"Víctor Manuel 1500 - 1800, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",10 baños|1.200 m² útiles,https://www.portalinmobiliario.com/MLC-2576085168-galpon-sector-franklin-1200-m2-uf-200-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:57.604891
MLC-2744035470,,UF 200,200.0,UF,"Víctor Manuel 1500 - 1800, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",12 baños|1.200 m² útiles,https://www.portalinmobiliario.com/MLC-2744035470-sector-avenida-matta-enorme-galpon-de-1200-m2-en-200-uf-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:57.964885
MLC-1475279431,,UF 295,295.0,UF,,6 baños|1.928 m² útiles,https://www.portalinmobiliario.com/MLC-1475279431-bodega-mas-oficinas-modernas-en-arriendo-en-santiago-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:58.589305
MLC-2728386640,,UF 170,170.0,UF,,4 baños|722 m² útiles,https://www.portalinmobiliario.com/MLC-2728386640-bodega-local-en-arriendo-amplia-y-grande-en-club-hipico-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:59.015619
MLC-1438558613,,UF 530,530.0,UF,"Libertad Con San Pablo, Barrio Yungay, Santiago, RM (Metropolitana)",7 baños|3.811 m² útiles,https://www.portalinmobiliario.com/MLC-1438558613-bodega-en-arriendo-en-santiago-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:59.399667
MLC-1528569343,,$ 850.000,850000.0,$,"5 Sur/franklin, Franklin - Biobío, Santiago, RM (Metropolitana)",2 baños|120 m² útiles,https://www.portalinmobiliario.com/MLC-1528569343-bodega-en-arriendo-en-santiago-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:40:59.718766
MLC-1542509425,,UF 60,60.0,UF,,4 baños|200 m² útiles,https://www.portalinmobiliario.com/MLC-1542509425-bodega-en-arriendo-en-santiago-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D046b2793-cf67-4b28-8a18-b7c73521b472,2024-10-30T18:41:00.004281
