id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-2696017602,,$ 1.500.000,1500000.0,$,"Sazié 1800 - 2100, Ejército - Toesca, Santiago, RM (Metropolitana)",9 dormitorios|7 baños|620 m² útiles,https://www.portalinmobiliario.com/MLC-2696017602-casona-en-sazie-habitacional-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:46.513559
MLC-2746544620,,$ 380.000,380000.0,$,"Herrera 1 - 300, Barrio Yungay, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|75 m² útiles,https://www.portalinmobiliario.com/MLC-2746544620-casa-en-arriendo-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:46.889104
MLC-2733491828,,UF 80,80.0,UF,,2 baños|514 m² útiles,https://www.portalinmobiliario.com/MLC-2733491828-excelente-ubicacion-se-autoriza-el-subarriendo-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:47.218998
MLC-2748972102,,UF 33,33.0,UF,,4 dormitorios|3 baños|200 m² útiles,https://www.portalinmobiliario.com/MLC-2748972102-casa-remodelada-cercano-a-metro-matta-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:47.544169
MLC-1522481991,,UF 22,22.0,UF,,3 dormitorios|3 baños|86 m² útiles,https://www.portalinmobiliario.com/MLC-1522481991-casa-compania-de-jesus-id-136272-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:47.942332
MLC-2722978808,,$ 1.000.000,1000000.0,$,"Rosaura Acuña 463, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",5 dormitorios|2 baños|140 m² útiles,https://www.portalinmobiliario.com/MLC-2722978808-amplia-casa-oficina-en-matta-sur-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:48.314524
MLC-2742284088,,$ 800.000,800000.0,$,,3 dormitorios|1 baño|123 m² útiles,https://www.portalinmobiliario.com/MLC-2742284088-cuevas-c-matta-3-dormitorios-amplios-disponibilidad-inmed-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:48.677426
MLC-2740140312,,$ 2.000.000,2000000.0,$,,6 dormitorios|2 baños|254 m² útiles,https://www.portalinmobiliario.com/MLC-2740140312-casa-en-arriendo-barrio-franklin-solo-empresas-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:49.009029
MLC-1539101057,,$ 700.000,700000.0,$,"Víctor Manuel 900 - 1200, Barrio Diez de Julio, Santiago, RM (Metropolitana)",2 dormitorios|1 baño|100 m² útiles,https://www.portalinmobiliario.com/MLC-1539101057-casa-oficina-en-metro-matta-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:49.415794
MLC-1532484887,,$ 580.000,580000.0,$,,2 dormitorios|1 baño|65 m² útiles,https://www.portalinmobiliario.com/MLC-1532484887-casa-franklin-2-pisos-oportunidad-tiene-1-estacionamiento-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:49.845763
MLC-2748029700,,$ 700.000,700000.0,$,"Disponibilidad Inmediata, Barrio Diez de Julio, Santiago, RM (Metropolitana)",4 dormitorios|1 baño|124 m² útiles,https://www.portalinmobiliario.com/MLC-2748029700-se-arrienda-casa-4d1b-metro-irarrazaval-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:50.247291
MLC-1538456671,,$ 2.000.000,2000000.0,$,,6 dormitorios|4 baños|250 m² útiles,https://www.portalinmobiliario.com/MLC-1538456671-casa-lucrecia-valdes-de-barros-borgono-id-141185-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D8e933914-a0c9-4d97-9722-5e758ae1b875,2024-10-30T18:39:50.563860
