id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1521951977,,UF 150,150.0,UF,,2 baños|114 m² útiles,https://www.portalinmobiliario.com/MLC-1521951977-local-comercial-en-santiago-centro-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:34.502579
MLC-1522001425,,UF 200,200.0,UF,"Paseo Ahumada 1 - 300, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|153 m² útiles,https://www.portalinmobiliario.com/MLC-1522001425-local-comercial-en-santiago-centro-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:34.808922
MLC-1521989189,,UF 200,200.0,UF,"Huérfanos 900 - 1200, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|156 m² útiles,https://www.portalinmobiliario.com/MLC-1521989189-local-comercial-en-santiago-centro-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:35.075835
MLC-2754841518,,UF 70,70.0,UF,"Pasaje Rosa Rodríguez 1329, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|190 m² útiles,https://www.portalinmobiliario.com/MLC-2754841518-amplio-local-en-pasaje-rosa-rodriguez-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:35.388893
MLC-2746546020,,UF 280,280.0,UF,"San Pablo 1161, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",12 baños|1.132 m² útiles,https://www.portalinmobiliario.com/MLC-2746546020-local-estrategico-en-santiago-centro-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:35.658590
MLC-2722320274,,UF 65,65.0,UF,"Nataniel Cox 615, Parque Almagro, Santiago, RM (Metropolitana)",1 baño|160 m² útiles,https://www.portalinmobiliario.com/MLC-2722320274-local-comercial-frente-supermercado-con-recepcion-final-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:35.962494
MLC-1541017079,,UF 16,16.0,UF,,1 baño|56 m² útiles,https://www.portalinmobiliario.com/MLC-1541017079-amplio-local-en-planta-libre-en-galeria-2-nivel-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:36.216502
MLC-1540375507,,UF 290,290.0,UF,"Bandera 655, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|931 m² útiles,https://www.portalinmobiliario.com/MLC-1540375507-local-comercial-gran-bodega-en-calle-bandera-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:36.554921
MLC-2753462316,,$ 1.050.000,1050000.0,$,"Víctor Manuel 900 - 1200, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",2 baños|264 m² útiles,https://www.portalinmobiliario.com/MLC-2753462316-casa-comercial-ubicacion-inmejorable-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:37.076977
MLC-1533594619,,UF 36,36.0,UF,,1 baño|135 m² útiles,https://www.portalinmobiliario.com/MLC-1533594619-bien-ubicado-local-2-pisos-san-isidro-santiago-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:37.330411
MLC-2582868588,,UF 103,103.0,UF,,1 baño|206 m² útiles,https://www.portalinmobiliario.com/MLC-2582868588-local-comercial-en-santiago-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:37.634600
MLC-1472821183,,UF 43,43.0,UF,"Franklin - Biobío, Santiago, RM (Metropolitana)",1 baño|108 m² útiles,https://www.portalinmobiliario.com/MLC-1472821183-local-comercial-en-santiago-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:37.926068
MLC-2616666416,,$ 750.000,750000.0,$,,1 baño|45 m² útiles,https://www.portalinmobiliario.com/MLC-2616666416-arriendo-local-comercial-metro-franklin-santiago-j80-c2j-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:38.267295
MLC-1541755669,,UF 482,482.0,UF,,6 baños|2.414 m² útiles,https://www.portalinmobiliario.com/MLC-1541755669-local-comercial-en-arriendo-en-nunoa-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:38.553595
MLC-2479868348,,UF 138,138.0,UF,,2 baños|388 m² útiles,https://www.portalinmobiliario.com/MLC-2479868348-gran-local-comercial-en-pleno-10-de-julio1-401-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:38.823470
MLC-1490603369,,UF 38,38.0,UF,,1 baño|64 m² útiles,https://www.portalinmobiliario.com/MLC-1490603369-local-comercial-en-matucana-657-con-sto-domingo-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:39.159692
MLC-1490656639,,UF 17,17.0,UF,"Avenida Presidente Balmaceda 1208, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|35 m² útiles,https://www.portalinmobiliario.com/MLC-1490656639-local-en-pdte-balmaceda-1208-apto-para-comida-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:39.484701
MLC-2479818384,,UF 55,55.0,UF,"San Diego 1830, Santiago, Chile, Franklin - Biobío, Santiago, RM (Metropolitana)",1 baño|83 m² útiles,https://www.portalinmobiliario.com/MLC-2479818384-local-comercia-san-diego-1830-metro-franklin-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:39.852069
MLC-1532408595,,$ 6.000.000,6000000.0,$,,2 baños|970 m² útiles,https://www.portalinmobiliario.com/MLC-1532408595-gran-local-comercial-bodegas-galpon-excelente-ubicacion-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:40.160325
MLC-2746230118,,UF 25,25.0,UF,"Santa Rosa 891 Esquina Coquimbo, San Diego, Santiago, RM (Metropolitana)",30 m² útiles,https://www.portalinmobiliario.com/MLC-2746230118-lanzamiento-arriendo-locales-comerciales-nuevos-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:40.440069
MLC-1474190611,,UF 47,47.0,UF,,1 baño|84 m² útiles,https://www.portalinmobiliario.com/MLC-1474190611-argomedo-local-comercial-edificio-nuevo-sector-centrico-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:40.758993
MLC-1532421025,,UF 386,386.0,UF,"Sazie, Meiggs, Santiago, RM (Metropolitana)",1.700 m² totales,https://www.portalinmobiliario.com/MLC-1532421025-gran-local-comercial-en-arriendo-con-excelente-ubicacion-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:41.002826
MLC-1540019381,,UF 30,30.0,UF,,1 baño|100 m² útiles,https://www.portalinmobiliario.com/MLC-1540019381-local-en-plena-calle-franklin-con-gran-flujo-peatonal-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:41.252400
MLC-2653710370,,UF 25,25.0,UF,,1 baño|33 m² útiles,https://www.portalinmobiliario.com/MLC-2653710370-adm-arriendo-local-comercial-galeria-san-agustin-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:41.551982
MLC-1443024709,,UF 67,67.0,UF,,1 baño|121 m² útiles,https://www.portalinmobiliario.com/MLC-1443024709-adm-arriendo-local-comercial-en-miraflores-_JM#position%3D25%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:41.831571
MLC-1533751559,,UF 60,60.0,UF,,1 baño|60 m² útiles,https://www.portalinmobiliario.com/MLC-1533751559-adm-arriendo-local-comercial-en-miraflores-_JM#position%3D26%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:42.102229
MLC-2755261330,,UF 11,11.0,UF,,1 baño|10 m² útiles,https://www.portalinmobiliario.com/MLC-2755261330-local-showroom-delivery-con-bano-huerfanos-san-antonio-_JM#position%3D27%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:42.432065
MLC-2755235258,,UF 30,30.0,UF,"Pl. De Armas 960, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|66 m² útiles,https://www.portalinmobiliario.com/MLC-2755235258-local-2-pisos-frente-plaza-de-armas-portal-fernandez-concha-_JM#position%3D28%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:42.713058
MLC-1533996761,,$ 1.570.000,1570000.0,$,"Santo Domingo 1077, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|27 m² útiles,https://www.portalinmobiliario.com/MLC-1533996761-local-comercial-excelente-ubicacion-_JM#position%3D29%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:43.018290
MLC-2713993426,,$ 550.000,550000.0,$,"Paseo Ahumada 85, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|40 m² útiles,https://www.portalinmobiliario.com/MLC-2713993426-arriendo-eurocentro-local-comercial-_JM#position%3D30%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:43.266274
MLC-1540480109,,UF 11,11.0,UF,,1 baño|10 m² útiles,https://www.portalinmobiliario.com/MLC-1540480109-arriendo-locales-en-pleno-centro-de-santiago-desde-uf-1050-_JM#position%3D31%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:43.539747
MLC-2755342644,,UF 150,150.0,UF,,3 baños|320 m² útiles,https://www.portalinmobiliario.com/MLC-2755342644-local-comercial-en-arriendo-en-santiago-centro-_JM#position%3D32%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:43.743386
MLC-1540939571,,$ 500.000,500000.0,$,,1 baño|75 m² útiles,https://www.portalinmobiliario.com/MLC-1540939571-arriendo-local-santiago-centro-_JM#position%3D33%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:43.983366
