id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-2538366530,,$ 329.353,329353.0,$,"Gorbea 2159, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|22 a 62 m² útiles,https://www.portalinmobiliario.com/MLC-2538366530-insitu-echaurren-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:38:59.383226
MLC-2731745426,,$ 315.000,315000.0,$,"Echaurren 40, Barrio República, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|31 a 50 m² útiles,https://www.portalinmobiliario.com/MLC-2731745426-echaurren-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:00.198723
MLC-2438882302,,$ 300.000,300000.0,$,"Avenida Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 baño|33 a 43 m² útiles,https://www.portalinmobiliario.com/MLC-2438882302-matucana-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:01.221392
MLC-1536376607,,$ 287.000,287000.0,$,"Av. Ejército Libertador 50, Ejército - Toesca, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|20 a 30 m² útiles,https://www.portalinmobiliario.com/MLC-1536376607-mirador-santiago-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:01.897855
MLC-1471481951,,$ 290.000,290000.0,$,"Avenida Ejército Libertador 75, Ejército - Toesca, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|25 a 52 m² útiles,https://www.portalinmobiliario.com/MLC-1471481951-barrio-universitario-home-inclusive-ejercito-multifamily-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:02.583198
MLC-2202758532,,$ 300.000,300000.0,$,"Echaurren 118, Barrio República, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|30 a 56 m² útiles,https://www.portalinmobiliario.com/MLC-2202758532-ciudadano-echaurren-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:03.169198
MLC-1520106363,,$ 345.000,345000.0,$,"Santo Domingo 1669, Barrio Brasil, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|32 a 60 m² útiles,https://www.portalinmobiliario.com/MLC-1520106363-departamento-nuevo-a-estrenar-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:03.784157
MLC-1464215105,,$ 292.000,292000.0,$,"Claudio Gay 2547, Barrio República, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|30 a 54 m² útiles,https://www.portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:04.462740
MLC-2534762048,,$ 280.000,280000.0,$,"José Miguel Carrera 68, Ejército - Toesca, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|26 a 33 m² útiles,https://www.portalinmobiliario.com/MLC-2534762048-carrera-capital-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:05.326721
MLC-1483656709,,$ 290.000,290000.0,$,"Romero 2349, Barrio Yungay, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|22 a 34 m² útiles,https://www.portalinmobiliario.com/MLC-1483656709-romero-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:06.019444
