id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1534600509,,UF 27,27.0,UF,,3 baños|110 m² útiles,https://www.portalinmobiliario.com/MLC-1534600509-oficina-moderna-entre-paseo-ahumada-y-paseo-estado-santiago-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:19.756513
MLC-1541709693,,UF 255,255.0,UF,"Teatinos 340, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",24 baños|1.020 m² útiles,https://www.portalinmobiliario.com/MLC-1541709693-edifico-corporativo-teatinos-con-huerfanos-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:20.121060
MLC-1541773987,,UF 120,120.0,UF,"Pasaje Rosa Rodríguez 1329, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",9 baños|470 m² útiles,https://www.portalinmobiliario.com/MLC-1541773987-arriendo-edificio-de-oficinas-teatinos-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:20.418994
MLC-1422967785,,UF 22,22.0,UF,"Paseo Huerfanos 779, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|150 m² útiles,https://www.portalinmobiliario.com/MLC-1422967785-espectacular-oficina-y-de-buen-tamano-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:20.791460
MLC-2635265238,,UF 10,10.0,UF,,1 baño|50 m² útiles,https://www.portalinmobiliario.com/MLC-2635265238-excelente-y-acogedora-oficina-con-cocina-y-bano-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:21.025980
MLC-1540477165,,UF 850,850.0,UF,,21 baños|4.400 m² útiles,https://www.portalinmobiliario.com/MLC-1540477165-arriendo-de-edificio-de-oficinas-en-bandera-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:21.345498
MLC-1535728255,,UF 20,20.0,UF,"Enrique Mac Iver 157, Santiago, Rm, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|114 m² útiles,https://www.portalinmobiliario.com/MLC-1535728255-amplia-y-comoda-oficina-con-un-estacionamiento-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:21.616673
MLC-1537284513,,UF 100,100.0,UF,,10 baños|650 m² útiles,https://www.portalinmobiliario.com/MLC-1537284513-casa-comercial-a-metros-del-metro-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:21.891947
MLC-1533328141,,UF 17,17.0,UF,"Enrique Mac Iver 157, Santiago, Rm, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|110 m² útiles,https://www.portalinmobiliario.com/MLC-1533328141-estupenda-oficina-remodelada-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:22.141729
MLC-1517426039,,UF 77,77.0,UF,,5 baños|276 m² útiles,https://www.portalinmobiliario.com/MLC-1517426039-oficina-en-santiago-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:22.404754
MLC-1515038483,,$ 1.500.000,1500000.0,$,"Arriendo Oficina En Pleno Centro De Santiago, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|235 m² útiles,https://www.portalinmobiliario.com/MLC-1515038483-arriendo-oficina-en-pleno-centro-de-santiago-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:22.901969
MLC-1533786325,,$ 650.000,650000.0,$,"Sector San Antonio- Merced, Santiago, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",3 baños|144 m² útiles,https://www.portalinmobiliario.com/MLC-1533786325-oficina-en-arriendo-en-santiago-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:23.275056
MLC-2647129266,,$ 1.250.000,1250000.0,$,,156 m² útiles,https://www.portalinmobiliario.com/MLC-2647129266-arriendo-oficina-cercana-a-metro-universidad-de-chile-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:23.591804
MLC-2700946080,,$ 1.750.000,1750000.0,$,"Huérfanos 770, Edificio 1° Categoria, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|220 m² útiles,https://www.portalinmobiliario.com/MLC-2700946080-huerfanos-770-edificio-1-categoria-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:23.952919
MLC-1539413157,,$ 120.000,120000.0,$,,1 baño|30 m² útiles,https://www.portalinmobiliario.com/MLC-1539413157-catedral-entre-morande-y-teatino-metro-sta-ana-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:24.201732
MLC-2656755314,,UF 70,70.0,UF,,5 baños|280 m² útiles,https://www.portalinmobiliario.com/MLC-2656755314-adm-oportunidad-unica-de-arriendo-de-oficina-en-santiago-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:24.513479
MLC-1539413061,,UF 18,18.0,UF,"Huérfanos 669, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|110 m² útiles,https://www.portalinmobiliario.com/MLC-1539413061-adm-arriendo-oficina-en-huerfanos-galeria-merced-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:24.808556
MLC-2606586006,,UF 6,6.0,UF,"Agustinas 853, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|22 m² útiles,https://www.portalinmobiliario.com/MLC-2606586006-adm-stgo-centro-oficina-agustinas-mall-vivo-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:25.112688
MLC-2681832404,,UF 29,29.0,UF,,4 baños|190 m² útiles,https://www.portalinmobiliario.com/MLC-2681832404-nethaus-arrienda-excelente-oficina-estado-alameda-santiago-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:25.411452
MLC-1532812341,,$ 280.000,280000.0,$,,2 baños|72 m² útiles,https://www.portalinmobiliario.com/MLC-1532812341-paseo-huerfanosmetro-plaza-de-armas-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:25.668110
MLC-2388728940,,$ 290.000,290000.0,$,"Paseo Ahumada 254, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|37 m² útiles,https://www.portalinmobiliario.com/MLC-2388728940-renovada-en-paseo-ahumada-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:26.034268
MLC-1491921867,,UF 7,7.0,UF,,1 baño|46 m² útiles,https://www.portalinmobiliario.com/MLC-1491921867-oficina-paseo-huerfanos-remodelada-excelente-ubicacion-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:26.523071
MLC-2724087750,,UF 13,13.0,UF,,2 baños|72 m² útiles,https://www.portalinmobiliario.com/MLC-2724087750-oficina-a-pasos-de-metro-u-de-chile-arrienda-su-duena-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:26.862098
