id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1455929413,,UF 30.000,30000.0,UF,,990 m² útiles,https://www.portalinmobiliario.com/MLC-1455929413-se-vende-galpon-en-calle-victor-manuel-de-dos-pisos-con-casa-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:45.179074
MLC-2389780702,,UF 65.000,65000.0,UF,,3.000 m² útiles,https://www.portalinmobiliario.com/MLC-2389780702-av-matta-san-diego-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:45.544312
MLC-2730166006,,UF 588,588.0,UF,,1 m² útiles,https://www.portalinmobiliario.com/MLC-2730166006-conjunto-de-9-bodegas-en-2-condominios-de-edificios-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:45.896320
MLC-1491852859,,UF 41.000,41000.0,UF,,12 baños|2.010 m² útiles,https://www.portalinmobiliario.com/MLC-1491852859-gran-edificio-con-bodega-comercial-san-diego-con-matta-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:46.230241
MLC-1523377633,,UF 79.848,79848.0,UF,,7 baños|3.811 m² útiles,https://www.portalinmobiliario.com/MLC-1523377633-bodega-en-venta-en-santiago-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:46.448766
MLC-1476472049,,UF 30.000,30000.0,UF,"Chiloé 1800 - 2100, Franklin - Biobío, Santiago, RM (Metropolitana)",3 baños|1.048 m² útiles,https://www.portalinmobiliario.com/MLC-1476472049-gran-bodega-barrio-franklin-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:46.722583
MLC-2616305456,,UF 69.000,69000.0,UF,,10 baños|1.600 m² útiles,https://www.portalinmobiliario.com/MLC-2616305456-bodega-en-venta-en-santiago-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:47.024446
MLC-1460613901,,UF 40.980,40980.0,UF,,5 baños,https://www.portalinmobiliario.com/MLC-1460613901-bodega-industrial-en-venta-en-san-francisco-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:47.273441
MLC-1523433883,,UF 8.450,8450.0,UF,,4 baños|332 m² útiles,https://www.portalinmobiliario.com/MLC-1523433883-bodega-en-venta-en-santiago-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:47.525057
MLC-2757853548,,UF 30.000,30000.0,UF,,4 baños|200 m² útiles,https://www.portalinmobiliario.com/MLC-2757853548-bodega-en-venta-en-santiago-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:47.909970
MLC-2177204722,,UF 121.600,121600.0,UF,"Chañarcillo Con Herrera, Parque Los Reyes, Santiago, RM (Metropolitana)",3.200 m² totales,https://www.portalinmobiliario.com/MLC-2177204722-bodega-en-venta-en-santiago-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2f6bc8f5-136a-4425-9f52-469de8a530aa,2024-10-30T18:37:48.186138
