id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1479338727,,$ 140.000.000,140000000.0,$,"General Gana 300 - 600, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",3 dormitorios|1 baño|87 m² útiles,https://www.portalinmobiliario.com/MLC-1479338727-excelente-y-comoda-casa-en-venta-comuna-de-stgo-centro-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:29.264706
MLC-1466604389,,UF 9.000,9000.0,UF,,8 dormitorios|2 baños|280 m² útiles,https://www.portalinmobiliario.com/MLC-1466604389-venta-casa-santiago-barrio-yungay-476-280mt2-construidos-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:29.698450
MLC-2741826412,,UF 3.650,3650.0,UF,"Santiago, Región Metropolitana, Parque O'Higgins, Santiago, RM (Metropolitana)",3 dormitorios|2 baños|108 m² útiles,https://www.portalinmobiliario.com/MLC-2741826412-vendo-casa-parque-ohiggins-club-hipico-santiago-metro-r-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:30.194311
MLC-2717100062,,$ 85.000.000,85000000.0,$,"Fray Camilo Henríquez, Barrio Diez de Julio, Santiago, RM (Metropolitana)",4 dormitorios|1 baño|70 m² útiles,https://www.portalinmobiliario.com/MLC-2717100062-casa-fray-camilo-henriquez-id-111742-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:30.558271
MLC-1515611233,,UF 10.800,10800.0,UF,,8 dormitorios|2 baños|378 m² útiles,https://www.portalinmobiliario.com/MLC-1515611233-venta-casa-calle-rosassantiago-inversionistas-comercial-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:30.873866
MLC-2721661706,,UF 15.450,15450.0,UF,"Vergara / Grajales, Ejército - Toesca, Santiago, RM (Metropolitana)",4 dormitorios|4 baños|350 m² útiles,https://www.portalinmobiliario.com/MLC-2721661706-venta-casa-santiago-centro-barrio-universitario-senorial-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:31.237493
MLC-2746560676,,$ 160.000.000,160000000.0,$,,4 dormitorios|1 baño|122 m² útiles,https://www.portalinmobiliario.com/MLC-2746560676-gran-casa-en-santiago-centro-4-dormitorios-y-patio-privado-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:31.555932
MLC-2670130786,,UF 3.715,3715.0,UF,,3 dormitorios|2 baños|125 m² útiles,https://www.portalinmobiliario.com/MLC-2670130786-casa-para-remodelar-barrio-franklin-con-patente-comercial-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:31.849969
MLC-2660230166,,UF 4.254,4254.0,UF,,3 dormitorios|2 baños|90 m² útiles,https://www.portalinmobiliario.com/MLC-2660230166-hermosa-casa-en-santiago-centro-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:32.216686
MLC-2684746902,,UF 17.000,17000.0,UF,"Barrio Yungay, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",6 dormitorios|3 baños|236 m² útiles,https://www.portalinmobiliario.com/MLC-2684746902-casa-en-venta-de-6-dorm-en-santiago-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dc465cac8-ff2e-49f0-bafd-9a012689f70b,2024-10-30T18:36:32.563822
