id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-2679184844,,UF 2.190,2190.0,UF,"Franklin 200, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|35 a 57 m² útiles,https://www.portalinmobiliario.com/MLC-2679184844-sinergia-vicuna-edificio-c-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:33.190135
MLC-1397027741,,UF 2.762,2762.0,UF,"Maimónides 551, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|27 a 63 m² útiles,https://www.portalinmobiliario.com/MLC-1397027741-eco-espacios-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:33.885340
MLC-1499137129,,UF 2.190,2190.0,UF,"José Miguel Carrera 699, Ejército - Toesca, Santiago, RM (Metropolitana)",1 a 3 dormitorios|1 a 2 baños|25 a 86 m² útiles,https://www.portalinmobiliario.com/MLC-1499137129-almagro-carrera-iv-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:34.635767
MLC-1600044872,,UF 2.336,2336.0,UF,"Domeyko 2505, Barrio República, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|27 a 58 m² útiles,https://www.portalinmobiliario.com/MLC-1600044872-eco-espana-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:35.253219
MLC-983000863,,UF 2.190,2190.0,UF,"Franklin Con Santa Elena, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|33 a 62 m² útiles,https://www.portalinmobiliario.com/MLC-983000863-vicuna-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:35.842012
MLC-1439389027,,UF 2.182,2182.0,UF,"Capitán Wood 2041, Parque O'Higgins, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|23 a 64 m² útiles,https://www.portalinmobiliario.com/MLC-1439389027-131wood-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:36.464087
MLC-2376759614,,UF 2.462,2462.0,UF,"Arturo Prat 1822, Santiago, Chile, Franklin - Biobío, Santiago, RM (Metropolitana)",1 a 3 dormitorios|1 a 2 baños|32 a 62 m² útiles,https://www.portalinmobiliario.com/MLC-2376759614-arturo-prat-1822-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:37.035887
MLC-1449091059,,UF 2.417,2417.0,UF,"Arturo Prat 1464, Parque O'Higgins, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|30 a 50 m² útiles,https://www.portalinmobiliario.com/MLC-1449091059-chiloe-prat-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:37.551208
MLC-2414170846,,UF 2.159,2159.0,UF,"Tocornal 636, Santa Isabel, Santiago, RM (Metropolitana)",3 dormitorios|1 a 2 baños|28 a 67 m² útiles,https://www.portalinmobiliario.com/MLC-2414170846-edificio-tocornal-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:38.364022
MLC-2548969372,,UF 3.103,3103.0,UF,"Mapocho Esquina Herrera, Parque Los Reyes, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 baño|33 a 43 m² útiles,https://www.portalinmobiliario.com/MLC-2548969372-edificio-m-now-santiago-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:38.935917
MLC-1449091039,,UF 2.548,2548.0,UF,"Zenteno 860, San Diego, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|30 a 47 m² útiles,https://www.portalinmobiliario.com/MLC-1449091039-zenteno-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:39.503660
MLC-1439402165,,UF 2.824,2824.0,UF,"Av. Libertador Bernardo O´higgins 2488, Barrio República, Santiago, RM (Metropolitana)",2 dormitorios|1 baño|25 a 44 m² útiles,https://www.portalinmobiliario.com/MLC-1439402165-276santiago-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:40.124063
MLC-2746488642,,UF 1.990,1990.0,UF,"Capitán Wood 1850, Santiago Centro, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|25 a 62 m² útiles,https://www.portalinmobiliario.com/MLC-2746488642-edificio-parque-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:40.735856
MLC-2135863830,,UF 2.280,2280.0,UF,"Av. Vicuña Mackenna 1885, Santiago, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|24 a 80 m² útiles,https://www.portalinmobiliario.com/MLC-2135863830-edificio-nuble-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D009002c3-0173-4023-9b3d-866505a50652,2024-10-30T18:35:41.389963
